"rider_name","rider_link","team_name","dob","nationality","uci_id"
"Jan Bakelants","/riders/jan-bakelants","Omega Pharma-Lotto","14/02/1986","Belgium","BEL19860214"
"Iljo Keisse","/riders/iljo-keisse","Quick Step","21/12/1982","Belgium","BEL19821221"
"Christopher Froome","/riders/christopher-froome","Sky Professional Cycling Team","20/05/1985","Great Britain","GBR19850520"
"Serge Pauwels","/riders/serge-pauwels-2","Sky Professional Cycling Team","21/11/1983","Belgium","BEL19831121"
"Ian Stannard","/riders/ian-stannard","Sky Professional Cycling Team","25/05/1987","Great Britain","GBR19870525"
"Geraint Thomas","/riders/geraint-thomas","Sky Professional Cycling Team","25/05/1986","Great Britain","GBR19860525"
"Leigh Howard","/riders/leigh-howard","Team HTC - Columbia","18/10/1989","Australia","AUS19891018"
"Daryl Impey","/riders/daryl-impey","Team Radioshack","06/12/1984","South Africa","RSA19841206"
"Richie Porte","/riders/richie-porte","Team Saxo Bank","30/01/1985","Australia","AUS19850130"
"Brent Bookwalter","/riders/brent-bookwalter","BMC Racing Team","16/02/1984","United States","USA19840216"
"Alexander Kristoff","/riders/alexander-kristoff","BMC Racing Team","05/07/1987","Norway","NOR19870705"
"Mikel Landa Meana","/riders/mikel-landa-meana","Euskaltel-Euskadi","13/12/1989","Spain","ESP19891213"
"John Degenkolb","/riders/john-degenkolb","HTC-Highroad","07/01/1989","Germany","GER19890107"
"Brice Feillu","/riders/brice-feillu","Leopard Trek","26/07/1985","France","FRA19850726"
"Robert Wagner","/riders/robert-wagner","Leopard Trek","17/04/1983","Germany","GER19830417"
"Damiano Caruso","/riders/damiano-caruso-1","Liquigas-Cannondale","12/10/1987","Italy","ITA19871012"
"Davide Cimolai","/riders/cimolai-davide","Liquigas-Cannondale","13/08/1989","Italy","ITA19890813"
"Julien Vermote","/riders/julien-vermote","Quickstep Cycling Team","26/07/1989","Belgium","BEL19890726"
"Michael Matthews","/riders/michael-matthews","Rabobank Cycling Team","26/09/1990","Australia","AUS19900926"
"Tom Jelte Slagter","/riders/tom-jelte-slagter","Rabobank Cycling Team","01/07/1989","Netherlands","NED19890701"
"Rafal Majka","/riders/rafa-majka","Saxo Bank Sungard","12/09/1989","Poland","POL19890912"
"Ramunas Navardauskas","/riders/ramunas-navardauskas","Team Garmin-Cervelo","30/01/1988","Lithuania","LTU19880130"
"Sep Vanmarcke","/riders/sep-vanmarcke","Team Garmin-Cervelo","28/07/1988","Belgium","BEL19880728"
"Nelson Oliveira","/riders/nelson-oliveira","Team RadioShack","26/03/1989","Portugal","POR19890326"
"Romain Bardet","/riders/romain-bardet","AG2R La Mondiale","09/11/1990","France","FRA19901109"
"Geoffrey Soupe","/riders/geoffrey-soupe","FDJ-Big Mat","22/03/1988","France","FRA19880322"
"Alex Howes","/riders/alex-howes","Garmin-Sharp","01/01/1988","United States","USA19880101"
"Marco Haller","/riders/marco-haller","Katusha Team","01/04/1991","Austria","AUT19910401"
"Winner Anacona Gomez","/riders/winner-anacona-gomez","Lampre - ISD","11/08/1988","Colombia","COL19880811"
"Nairo Quintana","/riders/nairo-quintana","Movistar Team","04/02/1990","Colombia","COL19900204"
"Luke Durbridge","/riders/luke-durbridge","Orica GreenEdge Cycling Team","09/04/1991","Australia","AUS19910409"
"Daniel Teklehaimanot","/riders/daniel-teklehaimanot","Orica GreenEdge Cycling Team","10/11/1988","Eritrea","ERI19881110"
"Fabio Aru","/riders/fabio-aru","Pro Team Astana","03/07/1990","Italy","ITA19900703"
"Wilco Kelderman","/riders/wilco-kelderman","Rabobank Cycling Team","25/03/1991","Netherlands","NED19910325"
"George Bennett","/riders/george-bennett","RadioShack-Nissan","07/04/1990","New Zealand","NZL19900407"
"Tony Gallopin","/riders/tony-gallopin","RadioShack-Nissan","24/05/1988","France","FRA19880524"
"Sergio Luis Henao Montoya","/riders/sergio-luis-henao-montoya","Sky Procycling","10/12/1987","Colombia","COL19871210"
"Luke Rowe","/riders/luke-rowe","Sky Procycling","10/03/1990","Great Britain","GBR19900310"
"Christopher Juul Jensen","/riders/christopher-juul-jensen","Team Saxo Bank - Tinkoff Bank","06/07/1989","Denmark","DEN19890706"
"Domenico Pozzovivo","/riders/domenico-pozzovivo","AG2R La Mondiale","30/11/1982","Italy","ITA19821130"
"Alexey Lutsenko","/riders/alexey-lutsenko","Astana Pro Team","07/09/1992","Kazakhstan","KAZ19920907"
"Kristijan Durasek","/riders/kristijan-durasek","Lampre-Merida","26/07/1987","Croatia","CRO19870726"
"Jan Polanc","/riders/jan-polanc","Lampre-Merida","06/05/1992","Slovenia","SLO19920506"
"Maximiliano Ariel Richeze","/riders/maximiliano-ariel-richeze","Lampre-Merida","07/03/1983","Argentina","ARG19830307"
"Warren Barguil","/riders/warren-barguil","Team Argos-Shimano","18/11/1991","France","FRA19911118"
"Roy Curvers","/riders/roy-curvers","Team Argos-Shimano","27/12/1979","Netherlands","NED19791227"
"Simon Geschke","/riders/simon-geschke","Team Argos-Shimano","13/03/1986","Germany","GER19860313"
"Reinardt Janse Van Rensburg","/riders/reinardt-janse-van-rensburg","Team Argos-Shimano","03/02/1989","South Africa","RSA19890203"
"Marcel Kittel","/riders/marcel-kittel","Team Argos-Shimano","11/05/1988","Germany","GER19880511"
"Georg Preidler","/riders/georg-preidler","Team Argos-Shimano","17/06/1990","Austria","AUT19900617"
"Albert Timmer","/riders/albert-timmer","Team Argos-Shimano","13/06/1985","Netherlands","NED19850613"
"Alexis Gougeard","/riders/alexis-gougeard","AG2R La Mondiale","05/03/1993","France","FRA19930305"
"Alexis Vuillermoz","/riders/alexis-vuillermoz","AG2R La Mondiale","01/06/1988","France","FRA19880601"
"Dylan van Baarle","/riders/dylan-van-baarle","Garmin Sharp","21/05/1992","Netherlands","NED19920521"
"Vegard Breen","/riders/vegard-breen-1","Lotto Belisol","08/02/1990","Norway","NOR19900208"
"Julian Alaphilippe","/riders/julian-alaphilippe","Omega Pharma - Quick-Step Cycling Team","11/06/1992","France","FRA19920611"
"Petr Vakoc","/riders/petr-vakoc","Omega Pharma - Quick-Step Cycling Team","11/07/1992","Czech Republic","CZE19920711"
"Adam Yates","/riders/adam-yates","Orica GreenEdge","07/08/1992","Great Britain","GBR19920807"
"Natnael Berhane","/riders/natnael-berhane","Team Europcar","05/01/1991","Eritrea","ERI19910105"
"Bryan Coquard","/riders/bryan-coquard","Team Europcar","25/04/1992","France","FRA19920425"
"Jerome Cousin","/riders/jrme-cousin","Team Europcar","05/06/1989","France","FRA19890605"
"Antoine Duchesne","/riders/antoine-duchesne","Team Europcar","12/09/1991","Canada","CAN19910912"
"Fabrice Jeandesboz","/riders/fabrice-jeandesboz","Team Europcar","04/12/1984","France","FRA19841204"
"Lawson Craddock","/riders/lawson-craddock","Team Giant-Shimano","20/02/1992","United States","USA19920220"
"Michael Valgren Andersen","/riders/michael-valgren-andersen","Tinkoff-Saxo","07/02/1992","Denmark","DEN19920207"
"Diego Rosa","/riders/diego-rosa-1","Astana Pro Team","27/03/1989","Italy","ITA19890327"
"Sondre Holst Enger","/riders/sondre-holst-enger","IAM Cycling","17/12/1993","Norway","NOR19931217"
"Reto Hollenstein","/riders/reto-hollenstein","IAM Cycling","22/08/1985","Switzerland","SUI19850822"
"Jarlinson Pantano","/riders/jarlinson-pantano","IAM Cycling","19/11/1988","Colombia","COL19881119"
"Sebastien Reichenbach","/riders/sebastien-reichenbach","IAM Cycling","28/05/1989","Switzerland","SUI19890528"
"Tsgabu  Grmay","/riders/tsgabu-grmay","Lampre-Merida","25/08/1991","Ethiopia","ETH19910825"
"Luka Pibernik","/riders/luka-pibernik","Lampre-Merida","23/10/1993","Slovenia","SLO19931023"
"Ilnur Zakarin","/riders/ilnur-zakarin","Team Katusha","15/09/1989","Russia","RUS19890915"
"Timo Roosen","/riders/timo-roosen","Team LottoNL-Jumbo","11/01/1993","Netherlands","NED19930111"
"Jasper Stuyven","/riders/jasper-stuyven","Trek Factory Racing","17/04/1992","Belgium","BEL19920417"
"Oliver Naesen","/riders/oliver-naesen","IAM Cycling","16/09/1990","Belgium","BEL19900916"
"Louis Meintjes","/riders/louis-meintjes","Lampre - Merida","21/02/1992","South Africa","RSA19920221"
"Dylan Groenewegen","/riders/dylan-groenewegen","Team LottoNl-Jumbo","21/06/1993","Netherlands","NED19930621"
"Jan Barta","/riders/jan-barta","Bora-Hansgrohe","07/12/1984","Czech Republic","CZE19841207"
"Cesare Benedetti","/riders/cesare-benedetti","Bora-Hansgrohe","03/08/1987","Italy","ITA19870803"
"Sam Bennett","/riders/sam-bennett","Bora-Hansgrohe","16/10/1990","Ireland","IRL19901016"
"Emanuel Buchmann","/riders/emanuel-buchmann","Bora-Hansgrohe","18/11/1992","Germany","GER19921118"
"Patrick Konrad","/riders/patrick-konrad","Bora-Hansgrohe","13/10/1991","Austria","AUT19911013"
"Andreas Schillinger","/riders/andreas-schillinger","Bora-Hansgrohe","13/07/1983","Germany","GER19830713"
